2025-05-25T20:00:54.879559,Host,1.9,62.6,15713,9836,133024465920,165001016832,12117225,43856000
2025-05-25T20:06:54.759402,Host,3.3,61.0,15713,9588,133032274944,165114082816,14171925,52083329
2025-05-25T20:07:06.987983,Host,4.2,61.2,15713,9617,133032344576,165118518784,14224863,52314815
2025-05-26T05:49:27.497600,Host,1.5,75.9,15713,11920,136274664960,176628881920,50333199,281034752
2025-05-26T08:50:58.311339,Host,6.1,67.3,15713,10570,137094184448,186234793984,8694747,8317848
2025-05-26T08:51:00.299775,Host,5.7,67.3,15713,10574,137094217216,186236219392,8694789,8317890
2025-05-26T08:51:02.298802,Host,9.7,67.3,15713,10579,137094217216,186237841408,8694789,8317890
2025-05-26T08:51:04.290390,Host,18.1,67.3,15713,10578,137094282752,186237902848,8694789,8317890
2025-05-26T08:51:06.317764,Host,15.3,67.3,15713,10582,137094282752,186238578688,8694789,8317890
2025-05-26T08:51:08.291101,Host,12.5,67.4,15713,10588,137094282752,186238816256,8694789,8317890
2025-05-26T08:51:10.303629,Host,13.4,67.2,15713,10553,137094348288,186239291392,8708715,8318154
2025-05-26T08:52:04.231972,Host,1.1,67.1,15713,10541,137094557184,186249531392,8961865,8398321
2025-05-26T08:52:06.225867,Host,16.7,67.2,15713,10556,137094557184,186250362880,8961865,8398321
2025-05-26T08:52:08.223984,Host,16.8,67.2,15713,10560,137094557184,186250469376,8961865,8398321
2025-05-26T08:52:10.242776,Host,15.3,67.3,15713,10567,137094696448,186251001856,8961865,8398321
2025-05-26T08:52:48.017543,Host,6.3,67.1,15713,10537,137095242240,186257825792,8985283,8423201
2025-05-26T08:52:50.016054,Host,16.8,67.2,15713,10565,137095242240,186257907712,9005309,8484370
2025-05-26T08:52:52.035181,Host,11.1,67.2,15713,10561,137095242240,186258071552,9005309,8484424
2025-05-26T08:52:54.027094,Host,30.6,67.2,15713,10559,137095373312,186258337792,9008359,8487884
2025-05-26T08:52:56.014671,Host,18.2,67.1,15713,10550,137095438848,186259116032,9008359,8487884
2025-05-26T08:52:58.033861,Host,15.4,67.1,15713,10545,137095455232,186259427328,9008359,8487884
